epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.984,1.18239,1.50312,1.19243,1,0.99831,0.995,0.58293,1.39059,1.2393,1.2902,0.000661538,0.000661538,0.000661538
2,556.193,1.23209,0.98468,1.19738,0.999,1,0.995,0.676,1.03843,0.83794,1.10056,0.00130191,0.00130191,0.00130191
3,833.371,1.25037,0.87622,1.19948,1,0.97883,0.99039,0.67127,1.1566,0.73393,1.11561,0.00191587,0.00191587,0.00191587
4,1110.58,1.20664,0.78948,1.18053,0.999,1,0.995,0.61683,1.36856,0.63302,1.219,0.0018812,0.0018812,0.0018812
5,1395.13,1.16912,0.74158,1.1713,0.99634,1,0.995,0.68616,1.05306,0.58527,1.08838,0.0018416,0.0018416,0.0018416
6,1671.8,1.16544,0.7074,1.15177,0.99891,1,0.995,0.66496,1.16671,0.50817,1.08871,0.001802,0.001802,0.001802
7,1948.73,1.16535,0.66632,1.1607,0.99765,1,0.995,0.66565,1.19756,0.52965,1.11153,0.0017624,0.0017624,0.0017624
8,2227.49,1.12315,0.64231,1.13515,0.99552,1,0.995,0.60285,1.34834,0.57067,1.23389,0.0017228,0.0017228,0.0017228
9,2512.33,1.11932,0.62088,1.13634,0.99889,1,0.995,0.70455,1.10823,0.46618,1.10557,0.0016832,0.0016832,0.0016832
10,2796.3,1.12004,0.60911,1.13704,0.99715,1,0.995,0.65873,1.12303,0.53822,1.11259,0.0016436,0.0016436,0.0016436
11,3097.55,1.1184,0.60127,1.14688,0.99881,1,0.995,0.67648,1.1836,0.46086,1.08849,0.001604,0.001604,0.001604
12,3499.63,1.08849,0.58129,1.12378,0.9989,1,0.995,0.72257,1.09675,0.44804,1.07615,0.0015644,0.0015644,0.0015644
13,3899.46,1.10722,0.58033,1.14085,0.99881,1,0.995,0.64636,1.21568,0.49027,1.0939,0.0015248,0.0015248,0.0015248
14,4314.07,1.07211,0.56062,1.13002,0.99675,1,0.995,0.72667,1.05722,0.4417,1.08152,0.0014852,0.0014852,0.0014852
15,4661.43,1.06955,0.55245,1.1186,0.99886,1,0.995,0.70172,1.01225,0.40132,1.04613,0.0014456,0.0014456,0.0014456
16,4946.69,1.05916,0.53487,1.10901,0.9987,1,0.995,0.70303,1.10613,0.42273,1.06856,0.001406,0.001406,0.001406
17,5233.94,1.01872,0.53575,1.09625,0.99886,1,0.995,0.6765,1.14219,0.4077,1.09824,0.0013664,0.0013664,0.0013664
18,5523.28,1.04834,0.53003,1.10753,0.99896,1,0.995,0.71943,1.03956,0.37577,1.04706,0.0013268,0.0013268,0.0013268
19,5841.92,1.02404,0.52052,1.10825,0.99875,1,0.995,0.68958,1.0498,0.40442,1.05211,0.0012872,0.0012872,0.0012872
20,6132.5,0.97596,0.50578,1.06983,0.99866,1,0.995,0.64988,1.29237,0.45158,1.13145,0.0012476,0.0012476,0.0012476
21,6422.86,0.9896,0.51171,1.07558,0.9985,1,0.995,0.69686,1.13734,0.39578,1.12019,0.001208,0.001208,0.001208
22,6707.36,1.01092,0.50584,1.10032,0.99892,1,0.995,0.72935,1.11442,0.40533,1.06645,0.0011684,0.0011684,0.0011684
23,6986.47,0.9785,0.49088,1.07711,0.99775,1,0.995,0.71941,1.06724,0.37937,1.0538,0.0011288,0.0011288,0.0011288
24,7266.09,0.97808,0.48127,1.07771,0.99899,1,0.995,0.69748,1.10019,0.3787,1.06538,0.0010892,0.0010892,0.0010892
25,7546.88,0.9549,0.47314,1.06884,0.999,1,0.995,0.71962,1.05724,0.36635,1.04888,0.0010496,0.0010496,0.0010496
26,7828.41,0.94697,0.47126,1.06276,0.99899,1,0.995,0.73092,1.02919,0.37464,1.05588,0.00101,0.00101,0.00101
27,8108.97,0.9289,0.47213,1.05174,0.999,1,0.995,0.73603,1.01954,0.35645,1.02083,0.0009704,0.0009704,0.0009704
28,8390.95,0.92302,0.46831,1.05908,0.99902,1,0.995,0.73623,1.03464,0.36542,1.04179,0.0009308,0.0009308,0.0009308
